CODIGO_SUCURSAL|DESCRIPCION_SUCURSAL|CODIGO_ARTÍCULO|DESCRIPCION_ARTÍCULO|ESTADOS|UNIDAD_DE_MEDIDA_MINIMA|CANTIDAD_UNIDAD_MINIMA|UNIDAD_DE_MEDIDA_LOGISTICA|CANTIDAD_UNIDAD_LOGISTICA|COSTO_UNITARIO_UNIDAD_MINIMA|LOTE_PROVEEDOR|LOTE_SAP|FECHA_VENCIMIENTO|SISTEMA_ORIGEN|FECHA_ACTUALIZACION
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|100260|VENLAFAXINA 75MG CAP LIB PROL  CAJ X 10 LA SANTE|DISPONIBLE|CAPSULA|0|CAJA|0|767,13|null|null|null|BOPOS|4/10/2023 8:42:45 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|111313|NEXIUM MUPS 40MG TAB LIB RET  CAJ X 14|DISPONIBLE|COMPRIMIDO|0|CAJA|0|1929,55|null|null|null|BOPOS|4/10/2023 8:42:45 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|147706|CARVEDILOL 6.25MG TAB  CAJ X 30 MK|DISPONIBLE|TABLETA|0|CAJA|0|233,25|null|null|null|BOPOS|4/10/2023 8:42:45 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|151208|CDR ESMALTE MASGLO JUGUETONA    FCO X 13.5ML|DISPONIBLE|FRASCO|0|FRASCO|0|4068,89|null|null|null|BOPOS|4/10/2023 8:42:45 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|154490|PROTECTORES DIARIOS   TENA PAQ X 50 DISCREET EXTRALARGOS|DISPONIBLE|PAQUETE|2|PAQUETE|2|14137,23|null|null|null|BOPOS|4/10/2023 8:42:45 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|144491|ENFAMIL PREMIUM    TAR X 800GR PROMENTAL 2|DISPONIBLE|TARRO|0|TARRO|0|101526,46|null|null|null|BOPOS|4/10/2023 8:42:45 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|137007|GASA ESTERIL  CAJ X 12SOBX2 NEXCARE  7.5CMX7.5CM|INCONSIST|SOBRE|0|CAJA|0|887,6|null|null|null|BOPOS|4/10/2023 8:42:45 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|131166|MOXIFLOXACINO 400MG TAB REC  CAJ X 7|DISPONIBLE|TABLETA|0|CAJA|0|6857,94|null|null|null|BOPOS|4/10/2023 8:42:45 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|120172|ATACAND 32MG TAB  CAJ X 30|DISPONIBLE|TABLETA|0|CAJA|0|1877,92|null|null|null|BOPOS|4/10/2023 8:42:45 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|123149|LIMPIADOR PROTESIS DENTAL COMBINE CAJ X 30 COREGA TABS|DISPONIBLE|TABLETA|0|CAJA|0|611,38|null|null|null|BOPOS|4/10/2023 8:42:45 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|139028|XRAY DOL (250+65+220)MG TAB  CAJ X 12|DISPONIBLE|TABLETA|0|CAJA|0|1511,01|null|null|null|BOPOS|4/10/2023 8:42:45 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|17845|TRAMADOL 50MG/ML SOL INY INST AMP X 1ML GENFAR|DISPONIBLE|CAJA_INDIVIDUAL|1|CAJA_INDIVIDUAL|1|535|null|null|null|BOPOS|4/10/2023 8:42:46 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|168771|RELVAR ELLIPTA (200+25)MCG/DOSIS POLV INH ORAL  FCO X 30DOSIS|DISPONIBLE|FRASCO|1|FRASCO|1|119326,55|null|null|null|BOPOS|4/10/2023 8:42:46 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|168045|BROSTERIL 40MG TAB REC  CAJ X 30|DISPONIBLE|TABLETA|30|CAJA|1|4322,32|null|null|null|BOPOS|4/10/2023 8:42:46 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|21534|KONAKION MM 10MG/ML SOL INY  CAJ X 5AMP|DISPONIBLE|AMPOLLA|0|CAJA|0|17415,17|null|null|null|BOPOS|4/10/2023 8:42:46 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|164875|JABON ALMENDRAS Y AVENA   JHONSONS PAQ X 3BAR X 110GR NUTRI SPA REPARADORA|DISPONIBLE|PAQUETE|0|PAQUETE|0|7594,83|null|null|null|BOPOS|4/10/2023 8:42:45 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|159734|CREMA ANTI MANCHAS DIA FPS 30+   CICATRICURE FCO X 50GR|DISPONIBLE|FRASCO|0|FRASCO|0|50212,96|null|null|null|BOPOS|4/10/2023 8:42:45 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|158983|Z-BEC ADVANCED NF MULTIPLES COMPONENTES TAB  FCO X 30|DISPONIBLE|TABLETA|0|FRASCO|0|944,66|null|null|null|BOPOS|4/10/2023 8:42:45 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|165660|SEDA DENTAL CON CERA LIMPIEZA MAX MENTA SOB X 1 FLUOCARDENT|DISPONIBLE|SOBRE|0|SOBRE|0|7722,03|null|null|null|BOPOS|4/10/2023 8:42:45 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|144175|PESTANINA ULTIMATE ALL IN ONE   REVLON TUB X 8.5ML   BLACKEST BLACK|DISPONIBLE|SOBRE|1|SOBRE|1|31400|null|null|null|BOPOS|4/10/2023 8:42:45 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|168551|ABRILAR  JBE  FCO X 100ML  MENTOL|DISPONIBLE|FRASCO|0|FRASCO|0|32166,39|null|null|null|BOPOS|4/10/2023 8:42:45 a. m.|
284|284_CRUZ_VERDE_MULTIDROGAS_ CENTRAL_DE_DOMIC|40440|MAGNESIO (98.73+0.86)MG TAB SUNDOWN FCO X 100|DISPONIBLE|TABLETA|0|FRASCO|0|368,17|null|null|null|BOPOS|4/10/2023 8:42:46 a. m.|
